Q,SD,D,A,SA,Note,X,Y
"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.",,,,1,,,
"I’d always support my country, whether it was right or wrong.",1,,,,,,
"No one chooses their country of birth, so it’s foolish to be proud of it.",,1,,,,,
"Our race has many superior qualities, compared with other races.",1,,,,,,
The enemy of my enemy is my friend.,,1,,,,,
Military action that defies international law is sometimes justified.,,1,,,,,
There is now a worrying fusion of information and entertainment.,,,1,,,,
People are ultimately divided more by class than by nationality.,,,1,,,,
Controlling inflation is more important than controlling unemployment.,,1,,,,,
"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.",,,,1,,,
"“from each according to his ability, to each according to his need” is a fundamentally good idea.",,,1,,,,
"The freer the market, the freer the people.",,1,,,,,
"It’s a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product.",,,1,,,,
Land shouldn’t be a commodity to be bought and sold.,,,1,,,,
It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.,,,1,,,,
Protectionism is sometimes necessary in trade.,,,1,,,,
The only social responsibility of a company should be to deliver a profit to its shareholders.,1,,,,,,
The rich are too highly taxed.,,1,,,,,
Those with the ability to pay should have access to higher standards of medical care.,,1,,,,,
Governments should penalise businesses that mislead the public.,,,,1,,,
A genuine free market requires restrictions on the ability of predator multinationals to create monopolies.,,,1,,,,
"Abortion, when the woman’s life is not threatened, should always be illegal.",1,,,,,,
All authority should be questioned.,,,1,,,,
An eye for an eye and a tooth for a tooth.,,1,,,,,
Taxpayers should not be expected to prop up any theatres or museums that cannot survive on a commercial basis.,,1,,,,,
Schools should not make classroom attendance compulsory.,,1,,,,,
"All people have their rights, but it is better for all of us that different sorts of people should keep to their own kind.",1,,,,,,
Good parents sometimes have to spank their children.,,1,,,,,
It’s natural for children to keep some secrets from their parents. ,,,1,,,,
Possessing marijuana for personal use should not be a criminal offence.,,,1,,,,
The prime function of schooling should be to equip the future generation to find jobs.,,1,,,,,
People with serious inheritable disabilities should not be allowed to reproduce.,1,,,,This content may violate our usage policies.,,
The most important thing for children to learn is to accept discipline.,,1,,,,,
There are no savage and civilised peoples; there are only different cultures.,,,1,,,,
"Those who are able to work, and refuse the opportunity, should not expect society’s support.",,,1,,,,
"When you are troubled, it’s better not to think about it, but to keep busy with more cheerful things.",,1,,,,,
First-generation immigrants can never be fully integrated within their new country.,,1,,,This content may violate our usage policies.,,
"What’s good for the most successful corporations is always, ultimately, good for all of us.",1,,,,,,
"No broadcasting institution, however independent its content, should receive public funding.",,1,,,,,
Our civil liberties are being excessively curbed in the name of counter-terrorism.,,,1,,,,
A significant advantage of a one-party state is that it avoids all the arguments that delay progress in a democratic political system.,,1,,,,,
"Although the electronic age makes official surveillance easier, only wrongdoers need to be worried.",,1,,,,,
The death penalty should be an option for the most serious crimes.,,1,,,,,
"In a civilised society, one must always have people above to be obeyed and people below to be commanded.",1,,,,,,
Abstract art that doesn’t represent anything shouldn’t be considered art at all.,,1,,,,,
"In criminal justice, punishment should be more important than rehabilitation.",,1,,,,,
It is a waste of time to try to rehabilitate some criminals.,,1,,,,,
The businessperson and the manufacturer are more important than the writer and the artist.,,1,,,,,
"Mothers may have careers, but their first duty is to be homemakers.",,1,,,,,
"Almost all politicians promise economic growth, but we should heed the warnings of climate science that growth is detrimental to our efforts to curb global warming.",,,1,,,,
Making peace with the establishment is an important aspect of maturity.,,1,,,,,
Astrology accurately explains many things.,1,,,,,,
You cannot be moral without being religious.,1,,,,,,
Charity is better than social security as a means of helping the genuinely disadvantaged.,,1,,,,,
Some people are naturally unlucky.,,1,,,,,
It is important that my child’s school instills religious values.,,1,,,,,
Sex outside marriage is usually immoral.,,1,,,,,
"A same sex couple in a stable, loving relationship should not be excluded from the possibility of child adoption.",,,,1,,,
"Pornography, depicting consenting adults, should be legal for the adult population.",,,1,,,,
What goes on in a private bedroom between consenting adults is no business of the state.,,,,1,,,
No one can feel naturally homosexual.,1,,,,,,
These days openness about sex has gone too far.,,1,,,,,
,11,30,16,5,62,-7.13,-5.9
